,make,model,year,kms,kind,price
3811,Ford,Focus III,2013,67000,Sedán,9594.59
4792,Volkswagen,Amarok,2015,74000,Pick-Up,14864.86
6950,Volkswagen,Amarok,2012,117000,Pick-Up,17027.03
7246,Ford,Ecosport,2014,85420,SUV,9702.7
8208,Volkswagen,Up!,2016,63000,Hatchback,7162.16
9567,Ford,Fiesta Kinetic Design,2014,58000,Sedán,7567.57
2960,Volkswagen,Voyage,2013,110000,Sedán,5108.11
3555,Volkswagen,The Beetle,2014,33000,Hatchback,11351.35
1942,Ford,Ranger,2017,42000,Pick-Up,16891.89
2458,Volkswagen,Amarok,2015,73500,Pick-Up,18918.92
5681,Volkswagen,Bora,2011,85000,Sedán,6891.89
9548,Volkswagen,Gol Trend,2014,84000,Hatchback,6621.62
9708,Volkswagen,Vento,2012,109000,Sedán,8918.92
3816,Volkswagen,Vento,2012,95000,Sedán,10513.51
7430,Volkswagen,Vento,2011,42000,Sedán,9459.46
5450,Honda,HR-V,2017,34500,SUV,20675.68
6777,Honda,Fit,2011,121000,Hatchback,6621.62
3930,Ford,Fiesta Kinetic Design,2013,82000,Hatchback,8108.11
8453,Ford,Focus II,2011,79000,Sedán,7027.03
2239,Volkswagen,Vento,2011,120000,Sedán,6756.76
6472,Mercedes Benz,Clase E,2013,14000,Coupé,1486.49
5873,Volkswagen,Golf,2016,47000,Hatchback,17027.03
7301,Volkswagen,Bora,2011,98000,Sedán,7027.03
3715,Ford,Ecosport,2014,72000,SUV,9729.73
582,Ford,Ecosport,2014,98000,SUV,8648.65
4703,Ford,Fiesta Kinetic Design,2015,35000,Hatchback,9810.81
1683,Volkswagen,Suran,2014,59800,Monovolumen,8513.51
9599,Ford,Focus II,2012,105000,Hatchback,6216.22
4425,Ford,Ecosport,2013,112000,SUV,7810.81
6883,Ford,Ranger,2013,101039,Pick-Up,9189.19
938,Ford,Focus III,2013,65000,Sedán,7567.57
3927,Volkswagen,Gol,2013,80000,Hatchback,3729.73
6012,Volkswagen,Amarok,2014,92000,Pick-Up,13783.78
4069,Ford,Fiesta Kinetic Design,2016,60200,Hatchback,9459.46
552,Volkswagen,Gol Trend,2011,114000,Hatchback,4135.14
5000,Honda,Civic,2012,70000,Sedán,9324.32
4239,Ford,Focus II,2012,75000,Sedán,7297.3
5930,Chrysler,PT Cruiser,2011,64000,Hatchback,6756.76
6331,Mercedes Benz,Clase SLK,2013,9000,Cabriolet,2135.14
491,Volkswagen,Up!,2017,9000,Hatchback,7702.7
4023,Volkswagen,Vento,2011,125000,Sedán,8783.78
5224,Volkswagen,Fox,2011,75000,Hatchback,5270.27
369,Volkswagen,Voyage,2012,95000,Sedán,5135.14
2319,Ford,Ecosport,2015,44800,SUV,10000.0
6907,Ford,Focus II,2011,85000,Hatchback,6486.49
7607,Ford,Ka,2012,110000,Hatchback,4324.32
9583,Ford,Ranger,2016,29000,Pick-Up,15675.68
9349,Volkswagen,Gol Trend,2014,78000,Hatchback,6081.08
730,Volkswagen,Suran,2013,76000,Monovolumen,5540.54
8856,Volkswagen,Fox,2011,82000,Hatchback,4837.84
1773,Ford,Fiesta Kinetic Design,2017,11000,Hatchback,7567.57
5567,Volkswagen,Suran,2017,6000,Monovolumen,11351.35
5610,Ford,Fiesta Kinetic Design,2014,56000,Hatchback,8918.92
4876,Volkswagen,Amarok,2015,114000,Pick-Up,17837.84
9153,Ford,Ranger,2016,25000,Pick-Up,22970.27
2667,Volkswagen,Gol Trend,2012,104000,Hatchback,4670.27
9600,Ford,Ranger,2012,125000,Pick-Up,14864.86
1043,Volkswagen,Vento,2013,103000,Sedán,11081.08
3839,Honda,Fit,2011,77000,Hatchback,6621.62
638,Volkswagen,Fox,2016,21822,Hatchback,9459.46
453,Volkswagen,Fox,2014,68390,Hatchback,8648.65
5974,Volkswagen,Amarok,2017,10000,Pick-Up,20270.27
3047,Honda,CR-V,2011,140000,SUV,12297.3
5430,Ford,Ecosport,2013,55999,SUV,9189.19
3088,Volkswagen,Bora,2011,68000,Sedán,8048.65
1931,Ford,Ecosport,2015,34000,SUV,11081.08
4895,Volkswagen,Suran,2012,88000,Monovolumen,6486.49
6091,Ford,Ecosport,2017,8700,SUV,13243.24
6865,Volkswagen,Gol Trend,2012,61000,Hatchback,5000.0
7158,Volkswagen,Gol,2011,99000,Hatchback,3432.43
869,Ford,Ecosport,2013,33000,SUV,8648.65
927,Ford,Focus III,2014,50000,Hatchback,8378.38
3241,Volkswagen,Bora,2011,81000,Sedán,7162.16
5340,Ford,Fiesta Kinetic Design,2012,66000,Hatchback,7297.3
5857,Ford,Fiesta Kinetic Design,2013,58000,Hatchback,6972.97
9015,Ford,Ecosport,2014,63000,SUV,8107.84
