Energy(calc),Energy,Sum,Scan1,Scan2,KMG,BE1,Fermi,BE
147,147.02,186512,95116,91396,1253.6,1099.98,9,1106.58
146.8,146.77,184817,94338,90479,1253.6,1100.23,9,1106.83
146.6,146.64,184796,94881,89915,1253.6,1100.36,9,1106.96
146.4,146.45,185580,95363,90217,1253.6,1100.55,9,1107.15
146.2,146.29,183665,94422,89243,1253.6,1100.71,9,1107.31
146,146.09,184008,94734,89274,1253.6,1100.91,9,1107.51
145.8,145.89,183740,94401,89339,1253.6,1101.11,9,1107.71
145.6,145.7,183091,94244,88847,1253.6,1101.3,9,1107.9
145.4,145.46,183328,94205,89123,1253.6,1101.54,9,1108.14
145.2,145.27,182300,93528,88772,1253.6,1101.73,9,1108.33
145,145.07,181747,93991,87756,1253.6,1101.93,9,1108.53
144.8,144.87,181175,93544,87631,1253.6,1102.13,9,1108.73
144.6,144.61,181485,93630,87855,1253.6,1102.39,9,1108.99
144.4,144.43,181650,93773,87877,1253.6,1102.57,9,1109.17
144.2,144.28,181396,94059,87337,1253.6,1102.72,9,1109.32
144,144.1,180724,94325,86399,1253.6,1102.9,9,1109.5
143.8,143.89,180266,93604,86662,1253.6,1103.11,9,1109.71
143.6,143.71,181374,93858,87516,1253.6,1103.29,9,1109.89
143.4,143.54,180428,93643,86785,1253.6,1103.46,9,1110.06
143.2,143.28,179762,93419,86343,1253.6,1103.72,9,1110.32
143,143.09,179810,93734,86076,1253.6,1103.91,9,1110.51
142.8,142.89,180019,93171,86848,1253.6,1104.11,9,1110.71
142.6,142.71,180349,93331,87018,1253.6,1104.29,9,1110.89
142.4,142.45,179441,93344,86097,1253.6,1104.55,9,1111.15
142.2,142.25,180834,93907,86927,1253.6,1104.75,9,1111.35
142,142.11,180548,93808,86740,1253.6,1104.89,9,1111.49
141.8,141.84,180701,93664,87037,1253.6,1105.16,9,1111.76
141.6,141.67,181352,93998,87354,1253.6,1105.33,9,1111.93
141.4,141.53,181255,93977,87278,1253.6,1105.47,9,1112.07
141.2,141.36,180681,93823,86858,1253.6,1105.64,9,1112.24
141,141.15,181116,93576,87540,1253.6,1105.85,9,1112.45
140.8,140.98,181758,94364,87394,1253.6,1106.02,9,1112.62
140.6,140.76,181362,94141,87221,1253.6,1106.24,9,1112.84
140.4,140.59,181682,94176,87506,1253.6,1106.41,9,1113.01
140.2,140.33,182068,94580,87488,1253.6,1106.67,9,1113.27
140,140.11,181846,94538,87308,1253.6,1106.89,9,1113.49
